,Quantity,Item_Name,Item_Price
156,1,Chips and Guacamole,$4.45 
157,1,Veggie Bowl,$11.25 
158,1,Steak Burrito,$11.75 
159,1,Chicken Burrito,$10.98 
160,1,Chicken Bowl,$8.49 
161,1,Chicken Burrito,$10.98 
162,2,Canned Soda,$2.18 
163,1,Carnitas Bowl,$11.48 
164,1,Veggie Bowl,$8.49 
165,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
166,1,Chips and Guacamole,$4.45 
167,1,Chicken Burrito,$11.25 
168,1,Barbacoa Crispy Tacos,$11.75 
169,1,Chicken Burrito,$8.75 
170,1,Chicken Burrito,$8.49 
171,2,Canned Soda,$2.18 
172,1,Chicken Burrito,$8.49 
173,1,Nantucket Nectar,$3.39 
174,1,Chicken Burrito,$8.49 
175,1,Steak Soft Tacos,$8.99 
176,1,Chicken Bowl,$10.98 
177,1,Steak Burrito,$11.48 
178,1,Chicken Burrito,$8.49 
179,1,Canned Soda,$1.09 
180,1,Canned Soda,$1.09 
181,1,Barbacoa Soft Tacos,$9.25 
182,1,Chicken Bowl,$8.75 
183,1,Chips and Fresh Tomato Salsa,$2.95 
184,1,Steak Soft Tacos,$9.25 
185,1,Chips and Guacamole,$4.45 
186,1,Veggie Salad Bowl,$11.25 
187,1,Steak Bowl,$11.48 
188,1,Chicken Burrito,$8.49 
189,1,Chicken Burrito,$8.49 
190,1,Steak Burrito,$8.99 
191,1,Chips and Roasted Chili Corn Salsa,$2.39 
192,1,Veggie Bowl,$11.25 
193,1,Chicken Bowl,$8.75 
194,1,Chips and Fresh Tomato Salsa,$2.95 
195,1,Canned Soda,$1.09 
196,1,Steak Burrito,$8.99 
197,1,Chicken Burrito,$8.49 
198,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
199,1,Chicken Bowl,$10.98 
200,1,Canned Soda,$1.09 
201,1,Chips and Guacamole,$3.99 
202,1,Chicken Burrito,$11.25 
203,1,Chicken Burrito,$8.75 
204,1,Chicken Burrito,$8.49 
205,1,Nantucket Nectar,$3.39 
206,1,Chicken Bowl,$8.75 
207,1,Steak Bowl,$9.25 
208,1,Chips,$2.15 
209,1,Chicken Bowl,$11.25 
210,1,Veggie Bowl,$11.25 
211,1,Chicken Bowl,$11.25 
212,1,Chips and Guacamole,$4.45 
213,2,Chicken Salad Bowl,$22.50 
214,1,Chips and Guacamole,$4.45 
215,1,Steak Bowl,$11.75 
216,1,Chicken Burrito,$8.75 
217,2,Chicken Crispy Tacos,$17.50 
218,1,Chicken Bowl,$8.75 
219,1,Barbacoa Bowl,$9.25 
220,1,Chicken Bowl,$8.75 
221,1,Chips,$2.15 
222,1,Barbacoa Burrito,$9.25 
223,2,Chips,$4.30 
224,1,Chicken Bowl,$8.75 
225,1,Veggie Burrito,$11.25 
226,1,Chips,$2.15 
227,1,Steak Burrito,$8.99 
228,1,Canned Soda,$1.09 
229,1,Steak Burrito,$8.99 
230,1,Chips and Guacamole,$3.99 
231,1,Chicken Bowl,$8.75 
232,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
233,1,Chips and Roasted Chili Corn Salsa,$2.95 
234,1,Steak Burrito,$11.75 
235,2,Chips and Tomatillo-Green Chili Salsa,$5.90 
236,1,Steak Burrito,$9.25 
237,1,Carnitas Soft Tacos,$9.25 
238,1,Steak Burrito,$11.75 
239,1,Carnitas Burrito,$9.25 
240,1,Chips and Fresh Tomato Salsa,$2.95 
241,2,Chicken Burrito,$17.50 
242,1,Chicken Burrito,$8.75 
243,1,Steak Bowl,$9.25 
244,1,Chicken Burrito,$10.98 
245,1,Steak Burrito,$8.99 
246,1,Canned Soda,$1.09 
247,1,Canned Soda,$1.09 
248,1,Canned Soda,$1.09 
249,1,Barbacoa Burrito,$8.99 
250,1,Chicken Salad,$10.98 
251,1,Canned Soda,$1.09 
252,1,Chicken Bowl,$8.75 
253,1,Veggie Bowl,$8.75 
254,1,Barbacoa Bowl,$9.25 
255,1,Barbacoa Crispy Tacos,$9.25 
256,1,Chicken Salad Bowl,$8.75 
257,1,Chicken Bowl,$8.75 
258,1,Steak Burrito,$8.99 
259,1,Steak Bowl,$8.99 
260,1,Steak Bowl,$8.99 
261,1,Canned Soda,$1.09 
262,1,Steak Bowl,$11.75 
263,1,Canned Soft Drink,$1.25 
264,1,Steak Burrito,$8.99 
265,1,Chips and Fresh Tomato Salsa,$2.39 
266,1,Steak Soft Tacos,$9.25 
267,1,Chips and Fresh Tomato Salsa,$2.95 
268,1,Barbacoa Soft Tacos,$8.99 
269,1,Chips and Guacamole,$3.99 
270,1,Chicken Burrito,$8.49 
271,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
272,1,Chicken Burrito,$8.49 
273,1,Chicken Burrito,$8.49 
274,1,Chicken Burrito,$8.49 
275,1,Side of Chips,$1.69 
276,1,Chicken Burrito,$8.49 
277,1,Chips and Guacamole,$3.99 
278,1,Steak Soft Tacos,$8.99 
279,1,Side of Chips,$1.69 
280,1,Canned Soda,$1.09 
281,2,Steak Salad Bowl,$23.78 
282,2,Chicken Bowl,$17.50 
283,1,Chips,$2.15 
284,1,Chicken Bowl,$8.75 
285,1,Steak Bowl,$9.25 
286,1,Steak Bowl,$9.25 
287,1,Veggie Bowl,$8.75 
288,1,Chips and Guacamole,$4.45 
289,1,Chicken Burrito,$8.75 
290,1,Chicken Bowl,$11.25 
291,1,Chicken Bowl,$11.25 
292,1,Canned Soft Drink,$1.25 
293,1,Steak Soft Tacos,$9.25 
294,1,Chips and Guacamole,$4.45 
295,1,Veggie Salad Bowl,$11.25 
296,1,Steak Burrito,$11.75 
297,1,Steak Burrito,$11.75 
298,1,6 Pack Soft Drink,$6.49 
299,1,Steak Soft Tacos,$8.99 
300,1,Chips and Tomatillo-Red Chili Salsa,$2.39 
301,1,Chicken Bowl,$8.49 
302,1,Chips and Fresh Tomato Salsa,$2.39 
303,1,Chicken Bowl,$11.25 
304,1,Chicken Bowl,$8.75 
305,1,Chips,$2.15 
306,1,Steak Bowl,$8.99 
307,1,Side of Chips,$1.69 
308,1,Chicken Burrito,$8.75 
309,1,Chicken Burrito,$11.25 
310,1,Chips,$2.15 
311,1,Chips and Guacamole,$4.45 
312,1,Chicken Bowl,$8.75 
313,1,Chicken Soft Tacos,$8.49 
314,1,Steak Burrito,$8.99 
315,2,Chicken Salad Bowl,$17.50 
316,1,Chicken Burrito,$8.49 
317,1,Canned Soda,$1.09 
318,1,Bottled Water,$1.09 
319,1,Chicken Bowl,$8.75 
320,1,Canned Soft Drink,$1.25 
321,1,Chips,$2.15 
322,1,Steak Burrito,$11.08 
323,1,Chicken Burrito,$8.49 
324,1,Chicken Soft Tacos,$8.49 
325,1,Steak Burrito,$8.99 
326,1,Chips and Fresh Tomato Salsa,$2.39 
327,1,Chicken Bowl,$8.75 
328,1,Chips,$2.15 
329,1,Bottled Water,$1.50 
330,1,Chicken Burrito,$11.25 
331,1,Chips,$2.15 
332,1,Chicken Soft Tacos,$8.49 
333,1,Chicken Soft Tacos,$8.49 
334,1,Barbacoa Burrito,$11.75 
335,1,Steak Burrito,$9.25 
336,1,Steak Bowl,$11.75 
337,1,Canned Soft Drink,$1.25 
338,1,Chicken Burrito,$11.25 
339,1,Chicken Burrito,$8.75 
340,1,Chips and Guacamole,$4.45 
341,1,6 Pack Soft Drink,$6.49 
342,1,Steak Soft Tacos,$9.25 
343,1,Chips and Fresh Tomato Salsa,$2.95 
344,1,Chicken Soft Tacos,$11.25 
345,1,Chips and Guacamole,$4.45 
346,1,Canned Soft Drink,$1.25 
347,1,Canned Soft Drink,$1.25 
348,1,Chicken Bowl,$8.49 
349,1,Chips and Tomatillo-Red Chili Salsa,$2.39 
350,2,Canned Soda,$2.18 
351,1,Chicken Burrito,$8.49 
352,2,Canned Soda,$2.18 
353,2,Steak Burrito,$22.16 
354,2,Chicken Soft Tacos,$17.50 
355,1,Chicken Burrito,$8.75 
356,1,Chips and Tomatillo-Red Chili Salsa,$2.95 
357,1,6 Pack Soft Drink,$6.49 
358,1,Steak Burrito,$8.99 
359,1,Izze,$3.39 
360,1,Izze,$3.39 
361,1,Steak Burrito,$8.99 
362,1,Chicken Burrito,$8.49 
363,1,Chicken Burrito,$11.25 
364,1,Chips,$2.15 
365,1,Chicken Crispy Tacos,$11.25 
366,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
367,1,Chicken Burrito,$11.25 
368,1,Canned Soft Drink,$1.25 
369,1,Steak Burrito,$8.99 
370,1,Canned Soda,$1.09 
371,1,Chicken Bowl,$8.75 
372,1,Chicken Burrito,$8.75 
373,1,Carnitas Burrito,$9.25 
374,1,Chips and Fresh Tomato Salsa,$2.95 
375,1,Barbacoa Burrito,$11.75 
376,1,Bottled Water,$1.50 
377,1,Steak Burrito,$8.99 
378,1,Canned Soda,$1.09 
379,1,Chicken Bowl,$11.25 
380,1,Canned Soft Drink,$1.25 
381,1,Canned Soft Drink,$1.25 
382,1,Chicken Burrito,$11.25 
383,1,Steak Burrito,$11.75 
384,1,Chips,$2.15 
385,1,Barbacoa Burrito,$8.99 
386,1,Side of Chips,$1.69 
387,1,Steak Bowl,$11.75 
388,1,6 Pack Soft Drink,$6.49 
389,1,Chicken Burrito,$8.75 
390,1,Steak Soft Tacos,$9.25 
391,1,Chicken Burrito,$11.25 
392,1,Chips and Guacamole,$4.45 
393,1,Canned Soft Drink,$1.25 
394,1,Veggie Burrito,$11.25 
395,1,Chips and Guacamole,$4.45 
396,1,Chicken Burrito,$8.49 
397,1,Barbacoa Burrito,$8.99 
398,1,Chicken Burrito,$8.49 
399,1,Carnitas Bowl,$8.99 
400,1,Chicken Burrito,$11.25 
401,1,Canned Soft Drink,$1.25 
402,1,Steak Burrito,$11.75 
403,1,Canned Soft Drink,$1.25 
404,1,Steak Burrito,$11.75 
405,1,Carnitas Soft Tacos,$9.25 
406,1,Chips and Guacamole,$4.45 
407,1,Chicken Bowl,$11.25 
408,1,Chips,$2.15 
409,3,Chicken Bowl,$32.94 
410,1,Canned Soft Drink,$1.25 
411,1,Chicken Bowl,$11.25 
412,1,Steak Bowl,$11.48 
413,1,Side of Chips,$1.69 
414,1,Canned Soda,$1.09 
415,2,Chicken Bowl,$17.50 
416,1,Chips and Guacamole,$4.45 
417,1,6 Pack Soft Drink,$6.49 
418,1,Barbacoa Bowl,$9.25 
419,1,Chicken Soft Tacos,$8.75 
420,1,Steak Burrito,$9.25 
421,1,Carnitas Burrito,$9.25 
422,1,Chicken Bowl,$8.75 
423,1,Chicken Burrito,$8.75 
424,1,Chips,$2.15 
425,1,Chips and Fresh Tomato Salsa,$2.95 
426,2,Chicken Soft Tacos,$17.50 
427,1,Chicken Soft Tacos,$10.98 
428,1,Steak Bowl,$11.48 
429,1,Barbacoa Crispy Tacos,$11.48 
430,1,Izze,$3.39 
431,1,Steak Burrito,$8.99 
432,1,Side of Chips,$1.69 
433,1,Carnitas Bowl,$8.99 
434,1,Canned Soda,$1.09 
435,1,Veggie Burrito,$10.98 
436,1,Nantucket Nectar,$3.39 
437,1,Steak Crispy Tacos,$8.99 
438,1,Canned Soda,$1.09 
439,1,Steak Burrito,$9.25 
440,1,Chicken Soft Tacos,$8.75 
441,1,Chicken Burrito,$11.25 
442,1,Chips and Guacamole,$4.45 
443,1,Chips and Tomatillo-Red Chili Salsa,$2.95 
444,1,Steak Bowl,$9.25 
445,3,Bowl,$22.20 
446,1,Chicken Burrito,$8.49 
447,1,Steak Burrito,$8.99 
448,1,Chicken Burrito,$8.75 
449,1,Chicken Bowl,$8.75 
450,1,Barbacoa Burrito,$11.75 
451,1,Chicken Burrito,$8.75 
452,1,Chicken Burrito,$11.25 
453,1,Carnitas Soft Tacos,$9.25 
454,1,Chicken Bowl,$11.25 
455,1,Veggie Salad Bowl,$11.25 
456,1,Chicken Bowl,$8.75 
457,1,Chicken Burrito,$11.25 
458,1,Chips and Fresh Tomato Salsa,$2.95 
459,1,Canned Soft Drink,$1.25 
460,1,Chicken Bowl,$8.49 
461,1,Side of Chips,$1.69 
462,1,Carnitas Burrito,$11.75 
463,1,Chicken Burrito,$11.25 
464,1,Chicken Bowl,$8.75 
465,1,Chicken Bowl,$8.75 
466,1,Chips and Guacamole,$4.45 
467,1,Veggie Burrito,$8.49 
468,1,Chips and Guacamole,$3.99 
469,1,Veggie Burrito,$8.49 
470,1,Chips and Guacamole,$3.99 
471,1,Barbacoa Bowl,$11.48 
472,1,Side of Chips,$1.69 
473,1,Canned Soda,$1.09 
474,1,Chicken Soft Tacos,$11.25 
475,1,Bottled Water,$1.50 
476,1,Chicken Burrito,$10.58 
477,1,Side of Chips,$1.69 
478,1,Carnitas Burrito,$9.25 
479,1,Veggie Burrito,$11.25 
480,1,Chicken Bowl,$8.75 
481,1,Steak Burrito,$9.25 
482,1,Chicken Burrito,$11.25 
483,1,Chicken Bowl,$11.25 
484,1,Chicken Bowl,$8.75 
485,1,Barbacoa Crispy Tacos,$11.75 
486,1,Chicken Burrito,$8.75 
487,1,Chicken Burrito,$8.75 
488,1,Chicken Bowl,$8.75 
489,1,Chips,$2.15 
490,1,Chicken Bowl,$11.25 
491,1,Steak Bowl,$11.75 
492,2,Canned Soft Drink,$2.50 
493,1,Chips and Guacamole,$4.45 
494,1,Steak Soft Tacos,$9.25 
495,1,Chips and Guacamole,$4.45 
496,1,Veggie Salad Bowl,$11.25 
497,1,Veggie Burrito,$8.49 
498,1,Chips and Guacamole,$3.99 
499,1,Steak Bowl,$9.25 
500,1,Steak Bowl,$9.25 
501,1,Chicken Bowl,$11.25 
502,1,Barbacoa Burrito,$9.25 
503,1,Steak Burrito,$11.75 
504,1,Chicken Soft Tacos,$11.25 
505,1,Canned Soft Drink,$1.25 
506,2,Carnitas Bowl,$23.50 
507,1,Canned Soft Drink,$1.25 
508,1,Steak Burrito,$8.99 
509,1,Chicken Bowl,$8.49 
510,1,Burrito,$7.40 
511,1,Burrito,$7.40 
512,1,Veggie Bowl,$8.75 
513,1,Canned Soft Drink,$1.25 
514,1,Chips and Guacamole,$4.45 
515,1,Veggie Bowl,$8.75 
516,1,Chips,$2.15 
517,1,Chicken Burrito,$8.75 
518,1,Chips and Guacamole,$4.45 
519,1,Burrito,$7.40 
520,1,Crispy Tacos,$7.40 
521,1,Crispy Tacos,$7.40 
522,1,Steak Burrito,$8.99 
523,1,Chips and Guacamole,$3.99 
524,1,Steak Bowl,$8.99 
525,1,Side of Chips,$1.69 
526,1,Chicken Salad Bowl,$8.75 
527,1,Chicken Bowl,$8.75 
528,1,Chicken Salad Bowl,$8.75 
529,1,Chicken Salad Bowl,$8.75 
530,1,Veggie Bowl,$11.25 
531,1,Chicken Burrito,$11.25 
532,1,Chips and Fresh Tomato Salsa,$2.95 
533,1,Chicken Burrito,$8.75 
534,2,Steak Burrito,$18.50 
535,1,Veggie Burrito,$8.49 
536,1,Chips and Guacamole,$3.99 
537,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
538,1,Carnitas Bowl,$9.25 
539,1,Steak Burrito,$9.25 
540,2,Bottled Water,$3.00 
541,1,Canned Soft Drink,$1.25 
542,1,Chicken Bowl,$8.75 
543,1,Barbacoa Burrito,$9.25 
544,1,Chips and Guacamole,$4.45 
545,1,Chicken Bowl,$8.75 
546,1,Chicken Bowl,$11.25 
547,1,Chips and Guacamole,$4.45 
548,1,Chicken Bowl,$10.98 
549,2,Steak Burrito,$22.16 
550,1,Chips and Guacamole,$4.45 
551,1,Chicken Burrito,$8.75 
552,1,Steak Burrito,$9.25 
553,1,6 Pack Soft Drink,$6.49 
554,1,Carnitas Crispy Tacos,$9.25 
555,1,Veggie Bowl,$11.25 
556,1,Chicken Bowl,$8.75 
557,1,Barbacoa Burrito,$9.25 
558,1,Chips,$2.15 
559,1,Steak Bowl,$9.25 
560,1,Chips and Guacamole,$4.45 
561,1,Barbacoa Burrito,$9.25 
562,1,Chips and Roasted Chili Corn Salsa,$2.95 
563,1,Steak Burrito,$9.25 
564,1,Chicken Burrito,$8.75 
565,1,Carnitas Soft Tacos,$9.25 
566,1,Canned Soft Drink,$1.25 
567,1,Canned Soft Drink,$1.25 
568,1,Chicken Salad Bowl,$8.75 
569,1,Chicken Burrito,$8.75 
570,1,Steak Soft Tacos,$9.25 
571,1,Chips and Guacamole,$4.45 
572,1,Steak Burrito,$11.75 
573,1,Steak Burrito,$11.75 
574,1,Barbacoa Burrito,$11.75 
575,1,Barbacoa Burrito,$9.25 
576,1,Steak Burrito,$9.25 
577,2,Chicken Soft Tacos,$16.98 
578,1,Chips and Tomatillo-Green Chili Salsa,$2.39 
579,1,Izze,$3.39 
580,1,Izze,$3.39 
581,1,Steak Crispy Tacos,$9.25 
582,1,Steak Burrito,$11.75 
583,1,Chicken Bowl,$11.25 
584,1,Chips,$2.15 
585,1,Chicken Salad Bowl,$8.75 
586,1,Barbacoa Burrito,$9.25 
587,1,Chips and Guacamole,$4.45 
588,1,Chicken Burrito,$10.98 
589,1,Chicken Burrito,$11.25 
590,1,Carnitas Soft Tacos,$9.25 
591,2,Chicken Salad Bowl,$22.50 
592,1,Barbacoa Bowl,$9.25 
593,1,Chips and Tomatillo-Red Chili Salsa,$2.95 
594,1,Bottled Water,$1.50 
595,1,Steak Bowl,$11.48 
596,1,Chicken Bowl,$8.49 
597,1,Side of Chips,$1.69 
598,1,Chicken Crispy Tacos,$8.49 
599,1,Chicken Burrito,$8.49 
600,1,Chicken Crispy Tacos,$8.49 
601,2,Nantucket Nectar,$6.78 
602,1,Barbacoa Burrito,$11.75 
603,1,Chips and Guacamole,$4.45 
604,1,Chicken Bowl,$8.75 
605,1,Chips and Guacamole,$4.45 
606,1,Steak Salad Bowl,$11.89 
607,1,Steak Salad Bowl,$9.39 
608,1,Chicken Burrito,$8.75 
609,1,Chips and Fresh Tomato Salsa,$2.95 
610,1,Canned Soft Drink,$1.25 
611,1,Barbacoa Soft Tacos,$9.25 
612,1,Chicken Burrito,$8.75 
613,2,Steak Salad Bowl,$23.78 
614,1,Chicken Bowl,$8.75 
615,1,Barbacoa Burrito,$9.25 
616,1,Chips,$2.15 
617,1,Chips,$2.15 
618,1,Canned Soft Drink,$1.25 
619,1,Veggie Bowl,$8.49 
620,1,Chips and Guacamole,$3.99 
621,1,Chicken Burrito,$10.98 
622,1,Canned Soda,$1.09 
623,1,Veggie Burrito,$8.75 
624,1,Chips and Guacamole,$4.45 
625,1,Chicken Bowl,$8.75 
626,1,Carnitas Burrito,$11.75 
627,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
628,1,Chips and Guacamole,$4.45 
629,1,Steak Burrito,$9.25 
630,1,Chicken Soft Tacos,$8.75 
631,1,Veggie Burrito,$8.49 
632,1,Chips and Guacamole,$3.99 
633,2,Chicken Salad Bowl,$22.50 
634,1,Chicken Burrito,$11.25 
635,1,Canned Soft Drink,$1.25 
636,1,Chicken Burrito,$8.75 
637,1,Chicken Bowl,$8.75 
638,2,Steak Burrito,$18.50 
639,1,6 Pack Soft Drink,$6.49 
640,1,Chicken Burrito,$8.75 
641,1,Chicken Soft Tacos,$8.75 
642,1,Chips and Guacamole,$4.45 
643,1,Veggie Bowl,$8.49 
644,1,Chips and Guacamole,$3.99 
645,1,Steak Burrito,$8.99 
646,1,Canned Soda,$1.09 
647,1,Chicken Bowl,$8.49 
648,1,Chips and Roasted Chili Corn Salsa,$2.39 
649,1,Steak Burrito,$11.48 
650,1,Side of Chips,$1.69 
651,2,Canned Soft Drink,$2.50 
652,1,Carnitas Burrito,$9.25 
653,1,Bottled Water,$1.50 
654,2,Chicken Bowl,$17.50 
655,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
656,1,Chicken Burrito,$8.75 
657,1,Chips and Guacamole,$4.45 
658,1,Steak Burrito,$11.75 
659,1,Chicken Burrito,$8.75 
660,1,Chicken Bowl,$8.49 
661,1,Side of Chips,$1.69 
662,1,Veggie Burrito,$8.49 
663,1,Chips and Guacamole,$3.99 
664,1,Steak Salad,$8.99 
665,1,Steak Bowl,$8.99 
666,1,Chips and Guacamole,$3.99 
667,1,Carnitas Soft Tacos,$8.99 
668,1,Chicken Bowl,$11.25 
669,1,Chips and Guacamole,$4.45 
670,1,Canned Soft Drink,$1.25 
671,1,Chips and Guacamole,$3.99 
672,1,Chicken Burrito,$10.98 
673,1,Bowl,$7.40 
674,1,Chips and Mild Fresh Tomato Salsa,$3.00 
675,1,Burrito,$7.40 
676,1,Chips and Guacamole,$4.00 
677,1,Veggie Bowl,$8.49 
678,1,Chips and Guacamole,$3.99 
679,1,Steak Bowl,$9.25 
680,1,Chips and Guacamole,$4.45 
681,1,Chicken Burrito,$11.25 
682,1,Canned Soft Drink,$1.25 
683,1,Steak Burrito,$11.75 
684,1,Canned Soft Drink,$1.25 
685,1,Chicken Burrito,$11.25 
686,1,Chips,$2.15 
687,1,Chicken Bowl,$11.25 
688,1,Chips and Guacamole,$4.45 
689,3,Canned Soft Drink,$3.75 
690,1,Steak Bowl,$11.75 
691,1,Carnitas Burrito,$8.99 
692,1,Chips and Tomatillo-Red Chili Salsa,$2.39 
693,1,Chicken Salad Bowl,$8.75 
694,1,Chips and Guacamole,$4.45 
695,1,Canned Soft Drink,$1.25 
696,1,Steak Burrito,$8.99 
697,1,Chicken Soft Tacos,$8.49 
698,2,Canned Soda,$2.18 
699,1,Chicken Burrito,$8.49 
700,2,Canned Soda,$2.18 
701,1,Bottled Water,$1.09 
702,1,Chicken Salad Bowl,$8.75 
703,1,Chips and Tomatillo-Green Chili Salsa,$2.95 
704,1,Canned Soft Drink,$1.25 
